dimension,group,n,current_listings,historical_identities,median_excess_cagr,median_excess_martin,beat_spy_cagr,rate_beat_spy_cagr,beat_spy_sortino,rate_beat_spy_sortino,beat_spy_calmar,rate_beat_spy_calmar,beat_spy_martin,rate_beat_spy_martin,beat_spy_rwm_score,rate_beat_spy_rwm_score,beat_spy_cagr_and_rwm,rate_beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,rate_beat_spy_cagr_and_martin,beat_spy_all_four,rate_beat_spy_all_four
sector_theme,industrials_transport,35,35,0,-0.022557928168015273,-0.5524974914517118,9,0.2571428571428571,4,0.11428571428571428,4,0.11428571428571428,6,0.17142857142857143,7,0.2,5,0.14285714285714285,4,0.11428571428571428,2,0.05714285714285714
sector_theme,financials,26,26,0,-0.03838688521662148,-0.6283339409252046,1,0.038461538461538464,1,0.038461538461538464,1,0.038461538461538464,1,0.038461538461538464,1,0.038461538461538464,1,0.038461538461538464,1,0.038461538461538464,1,0.038461538461538464
sector_theme,healthcare_biotech,26,26,0,-0.014595048670433708,-0.4037414495716011,5,0.19230769230769232,7,0.2692307692307692,11,0.4230769230769231,6,0.23076923076923078,6,0.23076923076923078,3,0.11538461538461539,2,0.07692307692307693,2,0.07692307692307693
sector_theme,consumer_discretionary,17,16,1,-0.030459101095326124,-1.1490244463135633,3,0.17647058823529413,1,0.058823529411764705,3,0.17647058823529413,3,0.17647058823529413,3,0.17647058823529413,2,0.11764705882352941,2,0.11764705882352941,1,0.058823529411764705
sector_theme,consumer_staples,13,13,0,-0.037480048389399556,-0.015415902006546411,1,0.07692307692307693,2,0.15384615384615385,5,0.38461538461538464,5,0.38461538461538464,3,0.23076923076923078,1,0.07692307692307693,1,0.07692307692307693,1,0.07692307692307693
sector_theme,semiconductors,11,11,0,0.02807253479900229,-0.23980180783485694,7,0.6363636363636364,3,0.2727272727272727,6,0.5454545454545454,2,0.18181818181818182,2,0.18181818181818182,1,0.09090909090909091,1,0.09090909090909091,1,0.09090909090909091
sector_theme,communications,9,8,1,-0.0362165710495308,-1.4199086059247206,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sector_theme,utilities,9,9,0,-0.026294821438371807,-0.13814080976701104,0,0.0,0,0.0,1,0.1111111111111111,0,0.0,2,0.2222222222222222,0,0.0,0,0.0,0,0.0
sector_theme,defense_aerospace,2,2,0,-0.058920100105399165,-1.0086538458441205,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
theme,not_thematic,1838,1782,56,-0.058301886107774537,-0.8801648044967381,179,0.09738846572361262,197,0.10718171926006528,228,0.12404787812840043,214,0.11643090315560392,154,0.08378672470076169,86,0.046789989118607184,78,0.042437431991294884,56,0.030467899891186073
